Song,Title,,Length,Offset,Start,End
DOLPHIN DANCE              ,DOLPHIN DANCE - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,105,
DON'T ASK WHY              ,DON'T ASK WHY - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,106,
DON'T BE THAT WAY          ,DON'T BE THAT WAY - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,107,
DON'T BLAME ME             ,DON'T BLAME ME - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,108,
THE DOUBLE UP              ,THE DOUBLE UP - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,109,
DREAMIN'                   ,DREAMIN' - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,110,
EL GAUCHO                  ,EL GAUCHO - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,113,
EMILY                           ,EMILY - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,114,
EVERYTHING I HAVE IS YOURS      ,EVERYTHING I HAVE IS YOURS - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,115,
FALL WITH ME                    ,FALL WITH ME - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,116,
FOR ALL WE KNOW                 ,FOR ALL WE KNOW - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,118,
FREEDOMLAND                     ,FREEDOMLAND - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,119,
FROM DAY TO DAY                 ,FROM DAY TO DAY - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,120,
THE GENTLE RAIN                 ,THE GENTLE RAIN - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,123,
GET READY                       ,GET READY - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,124,
A GHOST OF A CHANCE ,A GHOST OF A CHANCE - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,127,
GRAND CENTRAL                   ,GRAND CENTRAL - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,128,
GUSH                            ,GUSH - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,130,
HARD EIGHTS                     ,HARD EIGHTS - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,132,
HEAT WAVE                       ,HEAT WAVE - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,134,
HERZOG                          ,HERZOG - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,136,
HOLD ON  I'M COMING             ,HOLD ON I'M COMING - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,139,
HOW SWEET IT IS                 ,HOW SWEET IT IS - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,140,
I CAN'T HELP IT                 ,I CAN'T HELP IT - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,142,
I FALL IN LOVE TOO EASILY       ,I FALL IN LOVE TOO EASILY - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,143,
I GOT IT BAD                    ,I GOT IT BAD - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,144,
I HEAR A RHAPSODY               ,I HEAR A RHAPSODY - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,147,
I HEARD IT THROUGH THE GRAPEVINE,I HEARD IT THROUGH THE GRAPEVINE - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,148,
I WANTED TO SAY                 ,I WANTED TO SAY - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,150,
I'M GETTING SENTIMENTAL OVER YOU,I'M GETTING SENTIMENTAL OVER YOU - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,151,
I'M LOSING YOU                  ,I'M LOSING YOU - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,152,
I'M THROUGH WITH LOVE           ,I'M THROUGH WITH LOVE - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,154,
IF YOU COULD SEE ME NOW         ,IF YOU COULD SEE ME NOW - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,156,
IN A MELLOW TONE                ,IN A MELLOW TONE - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,159,
IN A SENTIMENTAL MOOD           ,IN A SENTIMENTAL MOOD - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,160,
IN CASE YOU MISSED IT           ,IN CASE YOU MISSED IT - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,162,
IN LOVE WITH NIGHT              ,IN LOVE WITH NIGHT - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,164,
INNER URGE                      ,INNER URGE - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,165,
INVITATION                      ,INVITATION - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,166,
ISOAR                           ,ISOAR - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,168,
ISOTOPE                         ,ISOTOPE - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,171,
IT ALWAYS IS                    ,IT ALWAYS IS - Eb Page nrb3,The New Real Book Eb III.pdf,4,0,172,
JEAN DE FLEUR                   ,JEAN DE FLEUR - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,176,
THE JITTERBUG WALTZ             ,THE JITTERBUG WALTZ - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,178,
JOHN'S WALTZ                    ,JOHN'S WALTZ - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,179,
JUST FRIENDS                    ,JUST FRIENDS - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,180,
JUST SQUEEZE ME                 ,JUST SQUEEZE ME - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,181,
JUST YOU  JUST ME               ,JUST YOU JUST ME - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,183,
KAHLIL THE PROPHET              ,KAHLIL THE PROPHET - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,184,
KNOCK ON WOOD                   ,KNOCK ON WOOD - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,186,
THE LAMP IS LOW                 ,THE LAMP IS LOW - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,189,
LAST NITE                       ,LAST NITE - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,190,
LAST SEASON                     ,LAST SEASON - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,192,
LAURA                           ,LAURA - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,195,
LET'S STAY TOGETHER             ,LET'S STAY TOGETHER - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,196,
LITHA                           ,LITHA - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,198,
LONELY WOMAN                    ,LONELY WOMAN - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,201,
LOOK AT THE BIRDIE              ,LOOK AT THE BIRDIE - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,202,
LOVE LETTER                     ,LOVE LETTER - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,205,
LOVE'S HAUNTS                   ,LOVE'S HAUNTS - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,206,
LULLABY IN RHYTHM               ,LULLABY IN RHYTHM - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,209,
MAIDEN VOYAGE                ,MAIDEN VOYAGE - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,210,
MAMACITA                     ,MAMACITA - Eb Page nrb3,The New Real Book Eb III.pdf,3,0,211,
MAN FACING NORTH             ,MAN FACING NORTH - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,214,
METAMORPHOSIS                ,METAMORPHOSIS - Eb Page nrb3,The New Real Book Eb III.pdf,4,0,216,
MIDNIGHT SILENCE             ,MIDNIGHT SILENCE - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,220,
MONK ON THE RUN              ,MONK ON THE RUN - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,222,
MOON AND SAND                ,MOON AND SAND - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,224,
MOONGLOW                     ,MOONGLOW - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,226,
MOONLIGHT SERENADE           ,MOONLIGHT SERENADE - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,227,
MY GIRL                      ,MY GIRL - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,228,
NEVER SAID (Chan's Song)     ,NEVER SAID (Chan's Song) - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,230,
NEW BOOTS                    ,NEW BOOTS - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,233,
NEXT FUTURE                  ,NEXT FUTURE - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,234,
NO WAY OUT                   ,NO WAY OUT - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,236,
NOWHERE TO RUN               ,NOWHERE TO RUN - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,238,
OFF FLOW                     ,OFF FLOW - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,240,
ON GREEN DOLPHIN STREET      ,ON GREEN DOLPHIN STREET - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,242,
ONE BIRD ONE STONE          ,ONE BIRD ONE STONE - Eb Page nrb3,The New Real Book Eb III.pdf,4,0,244,
ONE FINGER SNAP              ,ONE FINGER SNAP - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,249,
000 BABY BABY,000 BABY BABY - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,250,
OPUS DE FUNK                 ,OPUS DE FUNK - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,252,
OUT A DAY                    ,OUT A DAY - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,254,
OVER THE RAINBOW             ,OVER THE RAINBOW - Eb Page nrb3,The New Real Book Eb III.pdf,2,1,256,
PART-TIME LOVER              ,PART-TIME LOVER - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,258,
PENDULUM                     ,PENDULUM - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,260,
PRELUDE TO A KISS            ,PRELUDE TO A KISS - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,261,
PROMISE                      ,PROMISE - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,262,
PUNJAB                       ,PUNJAB - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,264,
PYRAMID                      ,PYRAMID - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,266,
QUESTION MARK                ,QUESTION MARK - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,269,
RAINLAND                     ,RAINLAND - Eb Page nrb3,The New Real Book Eb III.pdf,6,0,270,
REACH OUT I'LL BE THERE     ,REACH OUT I'LL BE THERE - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,276,
REAL LIFE                    ,REAL LIFE - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,278,
RED'S BLUES                  ,RED'S BLUES - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,281,
RELENTLESS                   ,RELENTLESS - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,282,
RESPECT                      ,RESPECT - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,284,
REVELATION                   ,REVELATION - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,286,
RIDDLES                      ,RIDDLES - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,288,
RITUAL                       ,RITUAL - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,290,
RUBY                         ,RUBY - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,292,
 SAIL AWAY                   ,SAIL AWAY - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,294,
THE SECOND TIME AROUND       ,THE SECOND TIME AROUND - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,297,
 SERENATA                    ,SERENATA - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,298,
 THE SHADOW OF YOUR SMILE    ,THE SHADOW OF YOUR SMILE - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,301,
 SHORT STORY                 ,SHORT STORY - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,302,
 SINCE WE MET                ,SINCE WE MET - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,304,
 SMILE PLEASE                ,SMILE PLEASE - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,307,
 SO NEAR  SO FAR             ,SO NEAR SO FAR - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,308,
 SOLITUDE                    ,SOLITUDE - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,311,
 SPEAK LIKE A CHILD          ,SPEAK LIKE A CHILD - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,312,
 SPRING IS HERE              ,SPRING IS HERE - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,314,
 STAIRWAY TO THE STARS       ,STAIRWAY TO THE STARS - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,315,
 STAR EYES                   ,STAR EYES - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,316,
 STARS FELL ON ALABAMA       ,STARS FELL ON ALABAMA - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,319,
 STEEPIAN FAITH              ,STEEPIAN FAITH - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,320,
STEP LIGHTLY                    ,STEP LIGHTLY - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,323,
STOMPIN' AT THE SAVOY           ,STOMPIN' AT THE SAVOY - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,324,
STREET OF DREAMS                ,STREET OF DREAMS - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,325,
SUB AQUA                        ,SUB AQUA - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,326,
SUGAR                           ,SUGAR - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,329,
SUPER BLUE                      ,SUPER BLUE - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,330,
SWEET LORRAINE                  ,SWEET LORRAINE - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,332,
SWEET LOVE                      ,SWEET LOVE - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,334,
TAKING A CHANCE ON LOVE         ,TAKING A CHANCE ON LOVE - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,336,
THAT GIRL                       ,THAT GIRL - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,338,
THAT OLD FEELING (Standard version),THAT OLD FEELING (Standard version) - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,341,
THAT OLD FEELING                ,THAT OLD FEELING - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,342,
THERE'S A LULL IN MY LIFE       ,THERE'S A LULL IN MY LIFE - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,344,
34 SKIDOO,34 SKIDOO - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,346,
THIS IS NEW                     ,THIS IS NEW - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,347,
TINY CAPERS                     ,TINY CAPERS - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,348,
TOKYO DREAM                     ,TOKYO DREAM - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,350,
TOO HIGH                        ,TOO HIGH - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,352,
TOY TUNE                        ,TOY TUNE - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,355,
THE TRACKS OF MY TEARS          ,THE TRACKS OF MY TEARS - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,356,
TUZZ'S SHADOW                   ,TUZZ'S SHADOW - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,358,
(USED TO BE A) CHA-CHA          ,(USED TO BE A) CHA-CHA - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,360,
WALK OF THE NEGRESS             ,WALK OF THE NEGRESS - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,363,
WARM VALLEY                     ,WARM VALLEY - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,364,
WEE                             ,WEE - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,365,
WHAT ARE YOU DOING THE REST OF YOUR LIFE,WHAT ARE YOU DOING THE REST OF YOUR LIFE - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,366,
WHAT'S GOING ON?                ,WHAT'S GOING ON? - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,368,
WHAT'S LOVE GOT TO DO WITH IT   ,WHAT'S LOVE GOT TO DO WITH IT - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,370,
WHEN I LOOK IN YOUR EYES        ,WHEN I LOOK IN YOUR EYES - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,372,
WHEN LIGHTS ARE LOW             ,WHEN LIGHTS ARE LOW - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,374,
WHERE ARE YOU?                  ,WHERE ARE YOU? - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,376,
YOU ARE SO BEAUTIFUL            ,YOU ARE SO BEAUTIFUL - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,377,
YOU MUST BELIEVE IN SPRING      ,YOU MUST BELIEVE IN SPRING - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,378,
YOU STEPPED OUT OF A DREAM      ,YOU STEPPED OUT OF A DREAM - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,380,
YOU'VE CHANGED                  ,YOU'VE CHANGED - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,381,
